"country","bad_teeth_avg","life_expectancy","continent"
"Afghanistan",2.9,57.1,"Asia"
"Angola",1.7,55.5,"Africa"
"Albania",3.02,75.8,"Europe"
"United Arab Emirates",1.6,69.1,"Asia"
"Argentina",3.4,74.9,"Americas"
"Armenia",2.4,73,"Asia"
"Antigua and Barbuda",0.7,75.7,"Americas"
"Australia",0.8,80.9,"Oceania"
"Austria",1,79.5,"Europe"
"Burundi",1,49.2,"Africa"
"Belgium",1.1,79.1,"Europe"
"Benin",0.8,58.5,"Africa"
"Burkina Faso",0.7,54.6,"Africa"
"Bangladesh",1,67.1,"Asia"
"Bulgaria",4.4,71,"Europe"
"Bahrain",1.4,72.3,"Asia"
"Bahamas",1.6,72.4,"Americas"
"Bosnia and Herzegovina",4.8,75.5,"Europe"
"Belarus",2.7,69,"Europe"
"Belize",0.6,72,"Americas"
"Bolivia",4.7,68.6,"Americas"
"Brazil",2.8,72.3,"Americas"
"Barbados",0.86,74.9,"Americas"
"Brunei",4.8,72.9,"Asia"
"Bhutan",1.4,68.6,"Asia"
"Botswana",0.5,47.5,"Africa"
"Central African Republic",4.1,44.8,"Africa"
"Canada",2.1,80.2,"Americas"
"Switzerland",0.86,81.4,"Europe"
"Chile",3.4,77.6,"Americas"
"China",1.03,72.5,"Asia"
"Cameroon",1.5,54.6,"Africa"
"Congo, Dem. Rep.",0.75,55.5,"Africa"
"Colombia",2.3,75.6,"Americas"
"Cape Verde",2.8,71.5,"Africa"
"Costa Rica",2.3,78.6,"Americas"
"Cuba",1.4,77.8,"Americas"
"Cyprus",1.14,77.9,"Asia"
"Czech Republic",2.5,76.1,"Europe"
"Germany",0.7,79.3,"Europe"
"Djibouti",0.9,61,"Africa"
"Dominica",2,72.3,"Americas"
"Denmark",0.8,78,"Europe"
"Dominican Republic",4.4,72.6,"Americas"
"Algeria",2.3,72.6,"Africa"
"Ecuador",3,73.9,"Americas"
"Egypt",1.18,68.5,"Africa"
"Spain",1.12,80.3,"Europe"
"Estonia",2.7,72.5,"Europe"
"Ethiopia",1.55,55.9,"Africa"
"Finland",1.2,79,"Europe"
"Fiji",1.5,67.1,"Oceania"
"France",1.2,80.3,"Europe"
"Micronesia, Fed. Sts.",2.1,63.7,"Oceania"
"Gabon",4.4,60.2,"Africa"
"United Kingdom",0.7,79,"Europe"
"Georgia",2.4,70.7,"Asia"
"Ghana",0.4,59.8,"Africa"
"Gambia",2.3,62,"Africa"
"Guinea-Bissau",0.5,52.7,"Africa"
"Greece",2.2,79.2,"Europe"
"Grenada",2.2,71.8,"Americas"
"Guatemala",5.2,68.4,"Americas"
"Guyana",1.3,64.3,"Americas"
"Hong Kong, China",0.8,81.7,"Asia"
"Honduras",3.7,70.7,"Americas"
"Croatia",3.5,75.6,"Europe"
"Haiti",0.65,57.5,"Americas"
"Hungary",3.3,73.1,"Europe"
"Indonesia",2.2,66.3,"Asia"
"India",3.94,65.2,"Asia"
"Ireland",1.1,78.7,"Europe"
"Iran",1.15,73.2,"Asia"
"Iraq",1.7,68.3,"Asia"
"Iceland",1.4,81.4,"Europe"
"Israel",1.66,79.9,"Asia"
"Italy",1.1,80.8,"Europe"
"Jamaica",1.1,76.8,"Americas"
"Jordan",3.3,74,"Asia"
"Japan",1.7,82.5,"Asia"
"Kazakhstan",2.1,64.6,"Asia"
"Kenya",1.35,55.7,"Africa"
"Kyrgyz Republic",3.1,67.4,"Asia"
"Cambodia",2.3,62.9,"Asia"
"Kiribati",1,57.5,"Oceania"
"St. Kitts and Nevis",5.5,71.2,"Americas"
"South Korea",3.1,78.3,"Asia"
"Kuwait",2.6,78.8,"Asia"
"Lao",2,61.1,"Asia"
"Lebanon",3.4,75.4,"Asia"
"Liberia",0.4,58.5,"Africa"
"Libya",1.14,76.4,"Africa"
"St. Lucia",6,74,"Americas"
"Sri Lanka",1.4,69,"Asia"
"Lesotho",0.4,44.2,"Africa"
"Lithuania",3.6,72,"Europe"
"Luxembourg",3,79.2,"Europe"
"Latvia",3.4,71.3,"Europe"
"Morocco",2.5,70.5,"Africa"
"Moldova",2.3,69.4,"Europe"
"Madagascar",3.1,60.6,"Africa"
"Maldives",2.1,73.9,"Asia"
"Mexico",2,75,"Americas"
"North Macedonia",3.03,72.2,"Europe"
"Mali",2.2,55.6,"Africa"
"Malta",1.6,79.6,"Europe"
"Myanmar",1.1,60.8,"Asia"
"Mongolia",1.9,62.5,"Asia"
"Mozambique",3.05,52.1,"Africa"
"Mauritania",2,65.5,"Africa"
"Mauritius",4.9,73.2,"Africa"
"Malawi",0.7,48,"Africa"
"Malaysia",1.6,73.8,"Asia"
"Namibia",1.2,52.4,"Africa"
"Niger",1.3,55,"Africa"
"Nigeria",0.46,56,"Africa"
"Nicaragua",1.5,73.7,"Americas"
"Netherlands",0.8,79.3,"Europe"
"Norway",1.7,80.1,"Europe"
"Nepal",0.5,67.2,"Asia"
"New Zealand",1.6,79.4,"Oceania"
"Oman",1.65,70.2,"Asia"
"Pakistan",1.38,61.8,"Asia"
"Panama",3.6,78.2,"Americas"
"Peru",2.9,76.7,"Americas"
"Philippines",2.9,70.4,"Asia"
"Papua New Guinea",1.7,62.3,"Oceania"
"Poland",3.2,75,"Europe"
"North Korea",3,69.8,"Asia"
"Portugal",1.5,78.4,"Europe"
"Paraguay",3.8,75.2,"Americas"
"Romania",2.8,72,"Europe"
"Russia",2.9,65.5,"Europe"
"Rwanda",0.3,56.3,"Africa"
"Saudi Arabia",5.9,71.1,"Asia"
"Sudan",1.4,64.2,"Africa"
"Senegal",1.2,62.7,"Africa"
"Singapore",1,80.7,"Asia"
"Solomon Islands",2.7,56.8,"Oceania"
"Sierra Leone",1.3,52.9,"Africa"
"El Salvador",1.4,73.6,"Americas"
"San Marino",3.7,81.6,"Europe"
"Somalia",1,52.8,"Africa"
"Suriname",1.9,70.1,"Americas"
"Slovenia",1.8,77.4,"Europe"
"Sweden",1,80.7,"Europe"
"Eswatini",0.9,43.1,"Africa"
"Seychelles",1.5,72,"Africa"
"Syria",2.3,74.1,"Asia"
"Togo",0.3,56.7,"Africa"
"Thailand",1.6,73.7,"Asia"
